,date,ap_daily,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20,ap21,ap22,ap23,ap24,ap25,ap26,ap27
80,1950-03-22,23.115,54,48,12,9,6,6,2,4,15,22,7,9,22,12,48,32,48,32,15,27,48,27,22,12,9,18,22
81,1950-03-23,6.031,15,22,7,9,22,12,48,32,48,32,15,27,48,27,22,12,9,18,22,9,6,5,6,7,5,2,7
82,1950-03-24,24.126,48,32,15,27,48,27,22,12,9,18,22,9,6,5,6,7,5,2,7,56,39,48,12,15,9,7,7
83,1950-03-25,12.073,9,18,22,9,6,5,6,7,5,2,7,56,39,48,12,15,9,7,7,12,39,22,4,3,4,7,5
84,1950-03-26,8.042,5,2,7,56,39,48,12,15,9,7,7,12,39,22,4,3,4,7,5,7,4,3,12,7,5,6,22
85,1950-03-27,39.146,9,7,7,12,39,22,4,3,4,7,5,7,4,3,12,7,5,6,22,48,48,22,39,18,39,48,48
86,1950-03-28,11.063,4,7,5,7,4,3,12,7,5,6,22,48,48,22,39,18,39,48,48,9,12,12,27,12,4,2,7
87,1950-03-29,14.084,5,6,22,48,48,22,39,18,39,48,48,9,12,12,27,12,4,2,7,6,12,32,22,15,12,7,5
88,1950-03-30,8.042,39,48,48,9,12,12,27,12,4,2,7,6,12,32,22,15,12,7,5,9,9,9,9,7,12,3,2
89,1950-03-31,20.105,4,2,7,6,12,32,22,15,12,7,5,9,9,9,9,7,12,3,2,0,4,22,18,32,39,12,32
90,1950-04-01,40.157,12,7,5,9,9,9,9,7,12,3,2,0,4,22,18,32,39,12,32,39,67,39,18,39,18,56,48
91,1950-04-02,35.146,12,3,2,0,4,22,18,32,39,12,32,39,67,39,18,39,18,56,48,32,32,56,27,15,32,32,56
92,1950-04-03,31.136,39,12,32,39,67,39,18,39,18,56,48,32,32,56,27,15,32,32,56,32,18,15,32,18,22,56,56
93,1950-04-04,31.136,18,56,48,32,32,56,27,15,32,32,56,32,18,15,32,18,22,56,56,18,48,48,32,22,39,27,15
94,1950-04-05,53.167,32,32,56,32,18,15,32,18,22,56,56,18,48,48,32,22,39,27,15,32,48,32,39,39,56,11,67
