,date,ap_daily,ap1,ap2,ap3,ap4,apavg1,apavg2
339,1980340,4.01,9,18,27,27,16.285714285714285,5.0
340,1980341,4.01,6,6,3,4,17.0,16.285714285714285
341,1980342,6.031,3,4,2,4,4.142857142857143,17.0
342,1980343,9.052,6,2,5,5,3.2857142857142856,4.142857142857143
343,1980344,10.063,9,7,6,3,5.142857142857143,3.2857142857142856
344,1980345,10.063,7,15,9,6,7.571428571428571,5.142857142857143
345,1980346,16.094,18,18,7,15,9.0,7.571428571428571
346,1980347,16.094,6,6,7,5,14.0,9.0
347,1980348,6.031,39,32,32,18,7.571428571428571,14.0
348,1980349,8.042,3,15,18,5,23.428571428571427,7.571428571428571
349,1980350,10.063,4,5,3,5,9.0,23.428571428571427
350,1980351,16.094,12,9,12,15,4.714285714285714,9.0
351,1980352,5.021,15,9,7,9,12.428571428571429,4.714285714285714
352,1980353,15.084,5,5,18,32,11.285714285714286,12.428571428571429
353,1980354,79.187,5,3,9,7,10.285714285714286,11.285714285714286
354,1980355,21.115,18,12,15,27,10.714285714285714,10.285714285714286
355,1980356,26.126,27,39,32,79,25.857142857142858,10.714285714285714
356,1980357,11.063,27,15,32,18,34.0,25.857142857142858
357,1980358,5.021,15,27,32,15,26.857142857142858,34.0
358,1980359,3.0,5,6,7,7,19.142857142857142,26.857142857142858
359,1980360,8.042,3,4,6,4,6.285714285714286,19.142857142857142
360,1980361,6.031,4,2,3,3,3.4285714285714284,6.285714285714286
361,1980362,10.063,7,18,3,5,4.714285714285714,3.4285714285714284
362,1980363,4.01,3,3,2,6,7.285714285714286,4.714285714285714
363,1980364,9.052,3,5,6,5,9.428571428571429,7.285714285714286
364,1980365,13.073,3,2,4,3,4.428571428571429,9.428571428571429
365,1980366,15.094,15,15,9,9,4.285714285714286,4.428571428571429
366,19811,13.084,22,6,4,3,15.571428571428571,4.285714285714286
367,19812,9.052,7,18,22,18,10.0,15.571428571428571
368,19813,9.052,5,6,22,9,17.0,10.0
369,19814,14.084,18,9,9,22,8.571428571428571,17.0
370,19815,9.052,27,6,12,6,12.0,8.571428571428571
371,19816,9.052,6,12,18,9,13.857142857142858,12.0
372,19817,6.031,9,12,15,9,9.428571428571429,13.857142857142858
373,19818,11.063,12,12,9,12,9.0,9.428571428571429
374,19819,6.031,7,7,4,5,9.0,9.0
375,198110,9.052,9,15,12,15,6.857142857142857,9.0
376,198111,19.105,2,6,4,4,9.714285714285714,6.857142857142857
377,198112,4.01,22,22,22,9,4.142857142857143,9.714285714285714
378,198113,6.031,9,15,12,15,20.714285714285715,4.142857142857143
379,198114,6.021,4,4,4,2,9.0,20.714285714285715
380,198115,7.042,6,6,7,7,4.571428571428571,9.0
381,198116,12.073,9,3,0,3,6.142857142857143,4.571428571428571
382,198117,8.042,18,12,7,7,4.571428571428571,6.142857142857143
383,198118,4.01,7,4,5,6,13.714285714285714,4.571428571428571
384,198119,3.01,7,7,12,6,5.428571428571429,13.714285714285714
385,198120,4.01,2,2,2,3,6.571428571428571,5.428571428571429
386,198121,2.0,7,3,3,4,2.4285714285714284,6.571428571428571
387,198122,9.052,3,4,7,4,3.4285714285714284,2.4285714285714284
388,198123,8.052,6,4,7,2,3.0,3.4285714285714284
389,198124,8.052,6,12,12,12,5.0,3.0
390,198125,7.042,5,7,9,9,8.571428571428571,5.0
391,198126,8.042,7,9,9,9,7.714285714285714,8.571428571428571
392,198127,8.052,3,9,9,12,6.857142857142857,7.714285714285714
393,198128,16.094,15,6,9,7,7.0,6.857142857142857
394,198129,15.094,18,7,4,5,8.0,7.0
395,198130,7.042,15,18,18,7,11.285714285714286,8.0
396,198131,22.115,9,7,15,9,16.857142857142858,11.285714285714286
397,198132,14.084,9,7,7,9,8.0,16.857142857142858
398,198133,22.115,6,22,18,5,20.571428571428573,8.0
399,198134,13.084,18,18,12,7,15.0,20.571428571428573
400,198135,9.052,15,12,22,39,16.428571428571427,15.0
401,198136,25.126,12,6,18,15,17.714285714285715,16.428571428571427
402,198137,48.167,7,12,18,9,9.428571428571429,17.714285714285715
403,198138,20.105,18,22,27,32,17.571428571428573,9.428571428571429
404,198139,14.084,80,56,11,80,19.571428571428573,17.571428571428573
405,198140,22.115,0,2,2,4,41.142857142857146,19.571428571428573
406,198141,3.01,56,32,15,32,2.142857142857143,41.142857142857146
407,198142,10.063,3,3,5,6,32.142857142857146,2.142857142857143
408,198143,11.063,3,2,5,4,3.142857142857143,32.142857142857146
409,198144,7.031,27,22,15,15,3.5714285714285716,3.142857142857143
410,198145,3.0,5,6,9,4,16.0,3.5714285714285716
411,198146,10.063,0,6,5,6,6.0,16.0
412,198147,10.063,2,3,3,5,3.7142857142857144,6.0
413,198148,6.031,12,12,22,27,3.0,3.7142857142857144
414,198149,6.021,5,4,5,12,16.142857142857142,3.0
415,198150,6.031,2,5,4,6,6.142857142857143,16.142857142857142
416,198151,9.052,12,12,6,6,4.0,6.142857142857143
417,198152,5.021,4,6,4,4,7.857142857142857,4.0
418,198153,6.031,4,4,5,15,6.428571428571429,7.857142857142857
419,198154,12.073,0,3,3,3,7.285714285714286,6.428571428571429
420,198155,20.105,32,32,7,5,1.7142857142857142,7.285714285714286
421,198156,24.126,7,12,7,15,13.285714285714286,1.7142857142857142
422,198157,29.136,27,39,39,32,9.714285714285714,13.285714285714286
423,198158,21.115,22,22,22,18,32.142857142857146,9.714285714285714
424,198159,11.063,18,32,80,27,19.428571428571427,32.142857142857146
425,198160,28.126,15,15,27,22,32.0,19.428571428571427
426,198161,25.126,22,22,15,7,14.857142857142858,32.0
